City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,edinburgh of the seven seas,-37.0676,-12.3116,11.420000000000016,72,20,14.52,SH,1724983298
1,port-aux-francais,-49.35,70.2167,3.2700000000000387,70,99,11.76,TF,1724983289
2,touba,8.2833,-7.6833,21.010000000000048,98,100,3.15,CI,1724983300
3,margaret river,-33.95,115.0667,13.870000000000005,64,17,9.16,AU,1724983302
4,sisimiut,66.9395,-53.6735,5.2900000000000205,78,100,1.34,GL,1724983303
5,punta arenas,-53.15,-70.9167,6.060000000000002,70,0,7.2,CL,1724983113
6,labuan bajo,-8.4964,119.8877,29.150000000000034,62,8,2.69,ID,1724983305
7,simpang,-1.2667,104.0833,28.970000000000027,64,100,1.93,ID,1724983306
8,kodiak,57.79,-152.4072,11.300000000000011,81,100,3.23,US,1724983307
9,guerrero negro,27.9769,-114.0611,20.74000000000001,77,0,7.93,MX,1724983308
10,puerto natales,-51.7236,-72.4875,2.6100000000000136,89,100,1.8,CL,1724983079
11,west island,-12.1568,96.8225,26.99000000000001,74,100,8.23,CC,1724983311
12,bethel,41.3712,-73.414,20.08000000000004,82,100,2.37,US,1724983037
13,saipan,15.1355,145.701,29.110000000000014,79,100,7.01,MP,1724983313
14,mount pearl,47.5166,-52.7813,12.300000000000011,77,75,5.14,CA,1724983314
15,gadzhiyevo,69.2551,33.3362,11.390000000000043,83,100,6.29,RU,1724983315
16,thompson,55.7435,-97.8558,14.090000000000032,100,75,1.03,CA,1724983234
17,ilulissat,69.2167,-51.1,4.010000000000048,87,75,0.51,GL,1724983317
18,mugia,43.1041,-9.2179,18.28000000000003,84,100,8.82,ES,1724983318
19,port macquarie,-31.4333,152.9167,27.260000000000048,35,0,4.02,AU,1724983319
20,geraldton,-28.7667,114.6,17.230000000000018,67,75,6.17,AU,1724983320
21,mana,5.6592,-53.7767,26.010000000000048,85,100,4.08,GF,1724983322
22,east london,-33.0153,27.9116,10.760000000000048,69,2,3.23,ZA,1724983232
23,colonia,50.9333,6.95,20.25,83,0,2.06,DE,1724983321
24,hamilton,39.1834,-84.5333,28.010000000000048,75,0,0.0,US,1724982630
25,dudinka,69.4058,86.1778,11.430000000000007,96,100,3.13,RU,1724983326
26,waitangi,-43.9535,-176.5597,13.79000000000002,91,55,2.68,NZ,1724983288
27,guane,22.2025,-84.0875,26.120000000000005,88,80,1.33,CU,1724983328
28,lamu,-2.2717,40.902,24.32000000000005,81,26,6.01,KE,1724983329
29,hermanus,-34.4187,19.2345,7.189999999999998,84,9,5.06,ZA,1724983330
30,harper,4.375,-7.7169,23.610000000000014,88,100,3.99,LR,1724983331
31,puerto ayora,-0.7393,-90.3518,19.189999999999998,98,93,1.34,EC,1724983332
32,luderitz,-26.6481,15.1594,15.75,41,0,3.13,NA,1724983334
